ID_REF	GSM5101328	GSM5101329	GSM5101330	GSM5101331	GSM5101332	GSM5101333
TC1900008257.hg.1	5.469872	5.586955	5.378731	5.605897	5.991541	5.441318
TC1900008259.hg.1	4.072381	4.072381	3.67202	4.753586	4.114165	4.155252
TC1900008271.hg.1	4.843227	4.728755	4.904511	4.807659	4.398541	4.768209
TC1900008276.hg.1	4.158834	4.292292	3.947922	3.875159	3.349865	3.951253
TC1900008279.hg.1	7.038888	6.871573	6.975951	6.846805	6.882133	6.775292
TC1900008284.hg.1	5.525089	5.288906	5.385382	5.513785	5.327355	5.327323
TC1900008286.hg.1	7.602716	7.496186	7.639558	7.427096	7.437487	7.4716
TC1900008287.hg.1	8.964108	8.886729	9.038719	9.10783	8.987113	8.945941
TC1900008292.hg.1	8.12329	8.262039	8.241601	8.241014	8.336003	8.238101
TC1900008297.hg.1	6.781853	7.124183	7.041296	6.904808	7.038969	6.945872
TC1900008300.hg.1	5.665938	5.60429	5.854362	5.222132	5.617398	5.764818
TC1900008303.hg.1	6.534513	6.505775	6.613377	6.424211	6.465613	6.362379
TC1900008321.hg.1	5.383903	5.510047	6.00295	5.409864	5.574564	4.956445
TC1900008323.hg.1	6.987287	7.078332	7.230726	7.330582	7.24109	7.300637
TC1900008326.hg.1	5.529103	5.067173	5.220305	5.48228	5.407781	5.585948
TC1900008328.hg.1	4.884049	4.495708	4.454623	4.377674	4.427844	4.538666
TC1900008329.hg.1	6.90577	7.243611	7.302468	7.101331	7.086591	6.991751
TC1900008337.hg.1	7.299602	7.200358	7.261868	7.020432	6.911696	6.29941
TC1900008341.hg.1	4.275233	3.757194	3.615493	3.334138	3.877109	3.252968
TC1900008343.hg.1	6.800933	6.539062	6.633872	6.409513	6.76582	6.777236
TC1900008345.hg.1	3.796098	3.77686	3.803136	3.043607	3.834085	3.607134
TC1900008351.hg.1	5.427727	5.259123	5.42425	5.817377	5.325995	5.446517
TC1900008358.hg.1	5.765132	5.423873	5.681898	5.183126	5.581651	5.463258
TC1900008363.hg.1	4.681694	4.866883	4.723935	5.098187	5.205691	5.223172
TC1900008366.hg.1	5.484865	5.24966	5.035844	4.962347	4.977419	5.24966
TC1900008369.hg.1	4.683982	4.669291	4.683982	4.534075	4.908263	4.696655
TC1900008372.hg.1	9.230989	8.854241	8.989338	9.272038	9.123564	9.025413
TC1900008384.hg.1	10.050182	10.181492	10.199909	9.887914	9.944478	10.035654
TC1900008392.hg.1	5.50596	5.221604	5.123148	5.580435	5.34202	5.340682
TC1900008399.hg.1	9.245117	9.366312	9.326858	9.180086	9.118532	9.109526
TC1900008404.hg.1	4.80065	4.577085	4.500251	4.328643	4.294302	4.232288
TC1900008409.hg.1	10.199216	10.169309	10.237279	10.314349	10.341837	10.422253
TC1900008415.hg.1	5.681877	6.287179	5.882125	6.177692	6.416363	6.551517
TC1900008416.hg.1	5.274961	4.919897	5.145544	4.722778	4.815998	4.994141
TC1900008419.hg.1	4.068727	4.032123	4.078938	4.25492	3.910048	4.081294
TC1900008420.hg.1	6.686255	6.452809	6.337801	6.226397	6.405363	6.273058
TC1900008428.hg.1	6.207123	6.396726	6.322076	6.238497	6.421884	6.482572
TC1900008432.hg.1	6.608129	6.336594	6.66289	6.476569	6.433515	6.567288
TC1900008433.hg.1	6.692101	6.807291	6.747066	6.692873	6.911586	6.648553
TC1900008435.hg.1	6.348266	6.336629	6.260908	6.544493	6.753172	6.694374
TC1900008445.hg.1	7.794739	7.84469	7.856692	7.918036	7.800745	7.917681
TC1900008456.hg.1	4.02143	4.163429	4.40261	4.160473	4.077219	4.091602
TC1900008464.hg.1	3.908413	3.993855	3.730386	3.418837	3.670953	3.637977
TC1900008465.hg.1	3.919661	3.892885	3.849318	4.345143	4.271726	4.020046
TC1900008469.hg.1	4.228256	4.299017	4.488421	4.261509	4.37477	3.795848
TC1900008470.hg.1	6.121776	5.801304	5.970525	5.781627	5.690686	5.795177
TC1900008476.hg.1	5.56022	5.586872	5.823062	5.23329	5.475701	5.761611
TC1900008479.hg.1	5.017179	5.265532	5.630299	4.761781	4.982274	4.708142
TC1900008482.hg.1	7.33492	7.421342	7.268078	6.940691	7.208882	7.088909
TC1900008485.hg.1	3.791837	4.20114	4.776821	4.076008	4.133019	4.52999
TC1900008489.hg.1	5.433024	4.86185	4.722844	4.690185	4.546892	5.090334
TC1900008496.hg.1	6.448112	6.166162	6.433491	6.014076	6.08291	5.944664
TC1900008498.hg.1	8.484338	8.464657	8.441196	8.582149	8.705366	8.668102
TC1900008503.hg.1	4.037506	5.038096	4.093754	3.428481	4.258973	3.618006
TC1900008505.hg.1	9.463943	9.397739	9.416518	9.442736	9.5845	9.544236
TC1900008507.hg.1	12.005486	12.286797	12.172799	12.081392	12.099945	12.112755
TC1900008509.hg.1	8.225084	8.381812	8.384959	8.429519	8.550456	8.465632
TC1900008513.hg.1	5.769357	5.719079	5.902297	5.317169	5.294831	5.360343
TC1900008516.hg.1	5.932695	5.810071	5.807178	5.715422	5.314052	5.43916
TC1900008522.hg.1	9.067959	9.122867	9.008214	8.969299	8.955778	8.9608
TC1900008526.hg.1	5.869328	5.613365	5.570596	5.877571	5.641857	5.956662
TC1900008527.hg.1	4.009575	3.433478	3.714398	4.22856	3.720997	3.600087
TC1900008528.hg.1	6.169201	6.1077	6.404397	5.829826	5.844277	5.991418
TC1900008533.hg.1	5.517535	5.564778	5.809947	5.477598	5.36928	5.230361
TC1900008535.hg.1	4.069384	3.672343	4.075644	4.089544	4.131205	3.649607
TC1900008536.hg.1	3.94638	4.207228	4.066027	4.534971	3.504525	4.095935
TC1900008537.hg.1	4.313806	4.232535	4.578769	3.992282	4.252522	3.851078
TC1900008542.hg.1	11.145398	11.128218	11.139365	10.536392	11.009789	11.072524
TC1900008543.hg.1	7.046687	6.650294	6.881913	6.868619	7.144531	7.054826
TC1900008544.hg.1	6.261347	6.187775	5.973748	6.22393	6.133923	6.06463
