ID_REF	GSM5101325	GSM5101326	GSM5101327
TC0100007789.hg.1	7.628922	5.993503	7.57601
TC0100007790.hg.1	4.055762	4.832366	4.372229
TC0100007791.hg.1	5.721061	6.051788	6.112019
TC0100007794.hg.1	8.354635	9.414189	7.879469
TC0100007798.hg.1	8.285963	7.145932	8.168714
TC0100007800.hg.1	6.237292	4.892075	5.667459
TC0100007813.hg.1	3.226312	3.184542	3.212336
TC0100007832.hg.1	7.46373	6.105912	7.090289
TC0100007838.hg.1	5.480674	6.687082	5.457848
TC0100007841.hg.1	7.71838	6.497695	7.679488
TC0100007845.hg.1	8.77011	7.942976	8.945879
TC0100007846.hg.1	6.540743	6.889816	6.193317
TC0100007858.hg.1	7.640453	6.553123	7.710556
TC0100007876.hg.1	3.549052	2.944729	2.921213
TC0100007884.hg.1	8.196458	7.882458	8.312275
TC0100007886.hg.1	10.303687	9.701465	10.201907
TC0100007898.hg.1	9.734819	8.884343	9.70647
TC0100007909.hg.1	4.092008	4.907345	4.487964
TC0100007910.hg.1	6.234797	6.729637	5.98233
TC0100007920.hg.1	7.13426	5.973262	6.831071
TC0100007922.hg.1	5.386385	6.558214	4.928746
TC0100007936.hg.1	5.896185	7.762848	5.617181
TC0100007940.hg.1	11.071725	10.761727	11.123083
TC0100007943.hg.1	7.995481	7.004898	7.878048
TC0100007948.hg.1	3.903015	3.512872	2.940264
TC0100007949.hg.1	8.40671	7.561234	8.662121
TC0100007954.hg.1	8.638739	7.959113	8.647915
TC0100007958.hg.1	5.261266	4.915887	5.385093
TC0100007961.hg.1	4.991551	3.771677	4.506134
TC0100007963.hg.1	5.615194	5.023402	5.767004
TC0100007964.hg.1	7.29134	6.617079	7.161284
TC0100007968.hg.1	7.787933	6.527061	7.69262
TC0100007971.hg.1	4.227342	5.221665	4.52544
TC0100007980.hg.1	8.180201	7.340466	8.1551
TC0100007991.hg.1	5.498588	6.277044	5.262909
TC0100008012.hg.1	4.488548	5.51147	4.768075
TC0100008017.hg.1	5.339703	5.393834	5.33412
TC0100008023.hg.1	7.187196	5.973756	7.472865
TC0100008025.hg.1	11.648054	11.382765	11.690973
TC0100008026.hg.1	5.934049	4.560343	5.496544
TC0100008033.hg.1	2.816837	3.071338	3.048364
TC0100008034.hg.1	6.472158	5.721767	6.410932
TC0100008052.hg.1	3.465092	3.068672	2.759412
TC0100008054.hg.1	4.930631	5.676467	5.125533
TC0100008055.hg.1	5.411483	6.65516	5.331099
TC0100008056.hg.1	2.793109	3.511802	2.750077
TC0100008057.hg.1	9.657833	8.816605	9.747725
TC0100008061.hg.1	7.545875	7.674938	7.380948
TC0100008066.hg.1	8.43788	7.392227	8.456499
TC0100008073.hg.1	6.655319	5.107491	6.737717
TC0100008075.hg.1	6.443934	6.76826	6.99617
TC0100008078.hg.1	5.846807	7.021865	5.902698
TC0100008079.hg.1	7.024279	6.461575	6.877547
TC0100008080.hg.1	8.639578	8.73484	8.442192
TC0100008081.hg.1	8.193295	7.243999	8.199753
TC0100008082.hg.1	9.226551	8.572288	9.332884
TC0100008084.hg.1	4.898221	5.528298	4.962769
TC0100008088.hg.1	4.330621	5.362773	4.004941
TC0100008090.hg.1	6.771214	6.026041	6.957864
TC0100008094.hg.1	9.505729	9.151798	9.380744
TC0100008100.hg.1	4.034661	5.458527	3.696295
TC0100008101.hg.1	7.496997	6.234599	7.369843
TC0100008102.hg.1	5.622841	5.724799	5.726844
TC0100008103.hg.1	11.087576	10.392952	10.958528
TC0100008105.hg.1	5.103835	4.500497	5.159958
TC0100008106.hg.1	5.321507	6.254546	4.051621
TC0100008114.hg.1	8.998109	7.873356	9.05504
TC0100008120.hg.1	4.90201	5.648524	4.082149
TC0100008121.hg.1	8.905922	8.114857	8.791403
TC0100008124.hg.1	7.379887	6.229473	7.359454
TC0100008126.hg.1	7.53248	6.681669	7.758122
TC0100008127.hg.1	10.019466	9.377324	10.102854
TC0100008129.hg.1	4.30866	3.985536	3.272349
TC0100008130.hg.1	3.661431	4.485385	4.336768
TC0100008132.hg.1	8.216404	6.902413	8.164757
TC0100008139.hg.1	7.172837	5.989598	6.962729
TC0100008145.hg.1	5.981811	6.159904	6.159409
TC0100008146.hg.1	5.908485	6.540807	5.645288
TC0100008150.hg.1	6.508037	5.381895	6.683707
TC0100008151.hg.1	5.460025	4.690742	6.119744
TC0100008152.hg.1	8.449556	7.351461	8.56873
TC0100008156.hg.1	7.825247	6.715349	7.718023
TC0100008158.hg.1	5.060878	6.282162	4.83551
TC0100008163.hg.1	4.582602	5.826708	4.613433
TC0100008170.hg.1	5.187781	5.343192	5.341695
TC0100008182.hg.1	3.669809	3.614283	3.012296
TC0100008183.hg.1	3.503714	3.710404	3.618826
TC0100008185.hg.1	3.806155	4.14471	3.563488
TC0100008190.hg.1	8.932688	8.13415	9.049654
TC0100008193.hg.1	4.588024	4.926541	4.662717
TC0100008194.hg.1	3.677735	4.548223	3.929107
TC0100008216.hg.1	6.705404	5.865068	6.499022
TC0100008243.hg.1	2.923476	3.563225	3.425921
TC0100008260.hg.1	5.362541	5.681048	5.411798
TC0100008266.hg.1	2.993871	4.288271	2.725707
TC0100008271.hg.1	7.273842	5.538272	7.434612
TC0100008289.hg.1	7.365326	6.43449	7.363896
TC0100008306.hg.1	8.751514	8.659869	8.931184
TC0100008308.hg.1	6.357012	5.661614	6.590935
TC0100008315.hg.1	8.654432	7.737304	8.690269
TC0100008321.hg.1	6.345698	6.101353	6.509336
TC0100008326.hg.1	4.664812	5.352489	4.834833
TC0100008332.hg.1	6.796059	5.735512	6.886874
TC0100008334.hg.1	3.324203	4.272304	3.442238
TC0100008336.hg.1	9.001622	8.027205	8.974198
TC0100008341.hg.1	5.086281	5.701632	5.253334
TC0100008342.hg.1	2.870293	3.716942	3.584515
TC0100008347.hg.1	6.370065	5.408408	6.507448
TC0100008358.hg.1	4.573158	5.831744	4.504043
TC0100008366.hg.1	3.479928	4.037258	3.484594
TC0100008369.hg.1	7.399572	6.607685	7.697912
TC0100008375.hg.1	6.112807	4.549551	5.903544
TC0100008383.hg.1	9.857486	9.163299	9.803154
TC0100008398.hg.1	5.006774	5.285748	5.040767
TC0100008402.hg.1	4.305459	6.146395	4.050476
TC0100008410.hg.1	3.483357	3.895117	3.557692
TC0100008411.hg.1	2.931929	3.578107	3.528892
TC0100008414.hg.1	5.248135	6.460257	4.985335
TC0100008416.hg.1	4.618852	6.751863	4.346971
TC0100008417.hg.1	6.02381	6.535253	5.983736
TC0100008450.hg.1	7.321001	6.015579	7.398526
TC0100008454.hg.1	5.301949	4.304691	5.488812
TC0100008496.hg.1	6.097663	5.062444	5.879841
TC0100008503.hg.1	6.731121	6.372088	6.573859
TC0100008517.hg.1	7.432226	6.878941	7.735518
TC0100008536.hg.1	6.818716	5.726519	7.006593
TC0100008549.hg.1	2.849894	2.692668	2.976892
TC0100008554.hg.1	6.748465	5.662744	6.764245
TC0100008559.hg.1	4.923573	4.582027	4.765406
TC0100008564.hg.1	4.249395	3.56299	4.20751
TC0100008582.hg.1	4.35119	5.632118	4.544761
TC0100008584.hg.1	2.963932	3.005462	3.194313
TC0100008588.hg.1	3.809743	3.302405	3.537534
TC0100008591.hg.1	6.901676	5.646812	6.931534
TC0100008594.hg.1	3.917863	4.137088	3.917863
TC0100008599.hg.1	3.210849	3.118339	3.477065
TC0100008602.hg.1	2.674025	2.927825	2.800434
TC0100008607.hg.1	7.193945	6.64853	7.283468
TC0100008618.hg.1	9.063338	7.716471	8.967238
TC0100008620.hg.1	3.847943	3.308762	3.856601
TC0100008621.hg.1	5.530875	5.488333	5.867272
TC0100008622.hg.1	3.151702	2.819169	3.356801
TC0100008625.hg.1	3.552115	3.26724	3.902547
TC0100008631.hg.1	2.909225	3.409983	3.164074
TC0100008637.hg.1	2.811206	2.865265	2.642882
TC0100008641.hg.1	6.886922	5.660149	6.865851
TC0100008648.hg.1	2.926018	2.961291	3.179912
TC0100008653.hg.1	3.78919	4.280617	3.930806
TC0100008664.hg.1	7.840928	7.844077	7.748938
TC0100008686.hg.1	2.703475	3.442571	2.648812
TC0100008692.hg.1	8.478909	7.626689	8.488834
TC0100008696.hg.1	5.496614	4.831336	5.545958
TC0100008697.hg.1	4.312846	4.954107	4.766907
TC0100008752.hg.1	6.860377	5.01832	6.561234
TC0100008757.hg.1	4.121286	5.561031	3.645774
TC0100008772.hg.1	6.352489	6.143413	6.159119
TC0100008773.hg.1	2.469623	2.670095	2.697746
TC0100008779.hg.1	3.576955	3.911065	3.680301
TC0100008787.hg.1	3.791645	5.433332	3.758445
TC0100008797.hg.1	3.22578	3.501049	2.728518
TC0100008803.hg.1	5.416274	3.790858	5.643485
TC0100008807.hg.1	3.747236	4.228624	3.997529
TC0100008812.hg.1	2.692525	3.495233	3.397408
TC0100008815.hg.1	2.596386	2.725474	3.271297
TC0100008816.hg.1	3.040885	2.783116	3.48165
TC0100008845.hg.1	6.947401	6.017342	6.581331
TC0100008874.hg.1	5.414837	4.456858	5.284992
TC0100008879.hg.1	3.072299	3.268369	3.234805
TC0100008882.hg.1	3.119334	4.122715	3.043941
TC0100008884.hg.1	7.898076	7.09354	8.043228
TC0100008885.hg.1	2.836401	3.21878	3.811214
TC0100008897.hg.1	2.856629	3.426414	3.345562
TC0100008912.hg.1	7.259373	6.329902	7.46088
TC0100008921.hg.1	2.901108	2.769118	2.722213
TC0100008922.hg.1	3.622802	4.369042	4.019195
TC0100008924.hg.1	2.897624	2.907937	3.132787
TC0100008927.hg.1	8.063418	6.733605	7.649777
TC0100008937.hg.1	3.699583	4.992406	3.533049
TC0100008938.hg.1	7.08569	5.657361	7.091372
TC0100008955.hg.1	8.206079	7.240745	8.344688
TC0100008965.hg.1	3.463866	3.476002	3.451863
TC0100008975.hg.1	2.970077	4.393282	2.843249
TC0100008978.hg.1	6.344784	5.321608	6.231769
TC0100008996.hg.1	7.185145	5.591882	7.442351
TC0100009020.hg.1	5.395128	4.085578	6.052166
TC0100009029.hg.1	6.339847	8.04756	5.984931
TC0100009030.hg.1	2.90901	3.229519	2.973789
