"ID_REF"	"GSM4218504"	"GSM4218505"	"GSM4218506"	"GSM4218507"	"GSM4218508"	"GSM4218509"	"GSM4218510"	"GSM4218511"	"GSM4218512"
"E08"	1.0147	1.4625	1.0250	1.0050	1.5175	1.0200	1.3725	2.0150	1.2316
"E09"	4.0124	3.0825	3.1450	4.5250	4.5175	4.0300	3.3425	5.0050	3.8532
"E10"	1.0164	1.2525	0.6400	2.0000	1.0075	1.0100	0.3875	1.0250	0.3738
"E11"	2.9821	3.1425	3.2850	2.9950	3.0025	2.0200	1.4675	1.9950	0.7029
"E12"	2.0180	2.2225	2.3050	3.0000	2.5075	2.0500	2.2725	4.0250	2.8855
"F01"	3.0460	2.7775	2.1600	3.5250	2.5125	3.0500	2.3825	4.0350	2.8539
"F02"	2.9897	3.2775	2.6200	3.5000	3.4875	3.0000	2.5025	3.0050	2.6027
"F03"	12.0519	12.9625	3.0300	12.0300	5.0275	11.1100	12.0575	13.0450	13.1040
"F04"	6.0222	5.1475	2.1600	6.5100	3.5125	5.0400	3.7475	5.0150	4.2047
"F05"	1.0141	1.8775	0.4150	1.0050	1.5125	1.0100	1.0725	1.9950	1.2216
"F06"	2.0000	1.3425	1.5200	1.9950	2.0025	2.0200	1.2625	4.0150	2.0931
"F07"	2.0216	2.1475	1.6050	3.0150	2.5175	2.0400	2.3925	4.0050	3.0831
"F08"	4.0205	4.2125	2.8100	5.0150	4.0125	4.0500	3.7925	5.9950	4.3254
"F09"	5.0277	4.0125	-0.7500	5.0100	1.0275	5.0300	4.0725	6.0250	4.1017
"F10"	11.0123	12.4775	2.2850	12.0100	4.5125	11.1100	11.0375	13.0250	11.7850
"F11"	1.9666	2.2375	2.4000	1.9900	2.0225	1.0200	0.9675	0.9750	1.2320
"F12"	1.0141	-0.4175	0.5500	1.0100	0.5225	2.0300	-1.0375	3.0050	0.3817
"G01"	4.0411	4.0025	2.9850	4.5200	3.4975	4.0300	2.6925	3.9750	3.6136
"G02"	1.9858	3.0725	1.5500	1.9950	1.5175	1.9900	2.6125	2.9750	2.9216
"G03"	0.0015	-0.3725	0.7150	-0.0050	0.5125	0.0100	-0.8925	-0.0050	-0.8943
"G04"	5.5125	5.0725	3.4550	5.5050	4.5175	5.0100	4.3825	5.9950	4.7551
"G05"	6.0008	5.9825	1.7400	6.0100	2.9925	7.0100	6.0875	6.9850	6.2553
"G06"	1.0343	1.8575	1.2350	2.0400	0.4975	0.0600	1.4425	1.0550	1.5059
"G07"	-3.9993	-3.9625	-3.6700	-3.0000	-2.9925	-4.0000	-3.0525	-1.0050	-2.3371
"G08"	1.0074	0.6325	1.1900	1.9950	2.0125	1.0200	1.0975	2.9850	1.9817
"G09"	2.0187	2.1875	1.7300	2.9900	2.5125	2.0300	1.7325	4.0050	2.7227
"G10"	7.9925	6.7675	1.8300	8.0450	4.0075	8.0100	7.2275	7.9950	7.5230
"G11"	2.0278	2.3675	2.1400	3.0250	2.5225	2.0500	1.9175	2.0050	1.5436
"G12"	11.5331	13.2225	3.4000	12.0800	6.0075	11.1100	13.1625	13.0950	13.1040
"H01"	12.0814	13.2875	4.8550	12.0900	7.0075	11.1100	13.2175	13.0950	13.1040
"H02"	12.0964	13.2875	4.8500	12.0900	7.0125	11.1100	13.2175	13.0950	13.1040
"H03"	0.9948	0.6375	0.8750	0.9950	0.4975	0.9900	0.5325	0.9850	0.6745
"H04"	-0.9948	-0.6375	-0.8750	-0.9950	-0.4975	-0.9900	-0.5325	-0.9850	-0.6745
"H05"	4.0267	3.7625	3.5600	5.0050	3.5025	5.0100	3.3675	6.0050	4.7849
"H06"	0.0213	-0.2275	-1.1550	0.0100	-0.4925	0.0200	-0.4025	1.0250	0.4946
"H07"	1.0109	0.4475	0.2900	1.0000	0.5175	1.0500	0.3175	2.0150	1.1744
"H08"	-1.9999	-1.3025	-2.1900	-0.9950	-1.4775	-0.9700	-1.9875	-0.9950	-1.2056
"H09"	1.0128	0.8975	0.2150	1.0050	0.5175	1.0400	1.3175	3.0250	1.4529
"H10"	1.0146	0.9075	0.2350	1.0100	0.5175	1.0300	1.3325	3.0050	1.5220
"H11"	-1.9618	-2.4225	-2.1800	-1.9700	-1.9675	-1.9300	-1.5375	-0.9750	-1.4158
"H12"	-1.9654	-2.2475	-1.6050	-1.9600	-1.9725	-1.9500	-1.2675	-0.9850	-1.4368
