ID_REF	GSM5226511	GSM5226512	GSM5226513	GSM5226514	GSM5226515	GSM5226516
145705	0.164547494	0.272396213	0.137491141	0.436420722	0.395585739	0.179821551
145707	0.016454749					
145708	0.082273747	0.067006555	0.026931254	0.01255887	0.015280136	0.032944406
145714	0.020942408					
145715	0.038893044					
145716			0.024096386			
145717	0.189977562	0.387472688	0.092133239	0.522762951	0.750424448	0.192175704
145720	0.050860135			0.007849294		
145721						
145722	0.037397158	0.05826657	0.021261517	0.086342229	0.132427844	0.059025395
145723						
145724	0.002991773	0.04806992	0.049610206			
145725	0.106207928	0.05826657	0.07654146	0.004709576	0.064516129	0.127659574
145727						
145732						
145734						
145736	0.228870606	1.222141296	0.246633593	0.456828885	0.592529711	0.376115305
145740	0.655198205	1.174071377	0.447909284	1.221350078	1.74533107	0.867536033
145741	0.061331339	0.033503277	0.009922041		0.0237691	
145742	0.086761406					
145744						
145745	0.376963351	0.016023307	0.097802977	0.053375196	0.050933786	0.06863418
145746						
145748						
145749	0.013462977					
145750	0.011967091					
145751	0.005983545			0.004709576		0.009608785
145753	0.201944652	0.166059723	0.07654146	0.249607535	0.359932088	0.107069321
145754						
145755	0.023934181			0.009419152		
145756						
145757						
145758	0.005983545					
145759						
145760	0.044876589			0.023547881		
145762						
145768	3.005235602	2.243262928	3.939050319	3.891679749	2.908319185	2.612216884
145769	0.041884817	0.174799709	0.310418143	0.018838305		0.071379547
145785						
145789	0.020942408		0.042523033			
145798	0.062827225					
145805	9.507853403	13.27021122	8.527285613	9.387755102	19.68760611	11.40013727
145819		0.029133285				
145820	0.049364248					0.021962938
145821	0.149588631	0.329206118	0.171509568	0.183673469	0.05942275	0.145504461
145822	0.022438295		0.002834869			
145824	0.025430067					
145825	0.001495886					
145826	0.110695587	0.231609614	0.131821403	0.10989011	0.308998302	0.140013727
145827	0.035901272	0.016023307			0.0475382	0.01509952
145831	0.034405385					
145832						
145833	0.058339566		0.024096386			
145835	0.001495886					
145836	0.013462977					
145838	0.1421092	0.004369993	0.015591779	0.10989011	0.061120543	0.012354152
145839	0.001495886					
145840	0.052356021	0.129643117	0.090715804	0.017268446	0.127334465	0.134522992
145841	0.035901272					
145842	0.016454749					
145843	0.082273747		0.008504607		0.049235993	0.023335621
145844	0.013462977					
145845						
145846	1.890800299	2.147123088	1.777462792	2.215070644	2.259762309	1.787234043
145847	0.019446522	0.018936635			0.044142615	
145852	0.064323111		0.052445074			0.107069321
145857	0.038893044					
145859						
145865	0.595362752	0.735615441	0.401133948	0.616954474	0.98811545	0.741249142
145866						
145867						
145868						
145869	0.158563949		0.045357902			0.001372684
145870						
145871						
145872	0.007479432					
145878	0.002991773					
145884	0.086761406	0.05826657	0.049610206	0.091051805	0.149405772	0.017844887
145889	0.038893044	0.05826657	0.001417434	0.092621664	0.025466893	0.016472203
145895	0.02842184					
145897	0.092744951	0.056809905	0.083628632			0.01509952
145901	2.517576664	4.471959213	1.19631467	2.293563579	0.928692699	1.206588881
145905	0.104712042	0.517115805	0.270729979	0.149136578	0.24278438	0.148249828
145914	0.007479432					
145915	0.037397158				0.001697793	0.008236102
145917						
145928	0.590875093	0.080116533	0.026931254	0.270015699	0.213921902	0.046671242
145933	0.151084518	0.480699199	0.544294826	0.400313972	0.297113752	0.359643102
145934	0.071802543	0.689002185	0.571226081	0.120879121	0.069609508	0.214138641
145943	0.022438295					
145944	0.035901272		0.001417434	0.020408163		0.004118051
145946	0.044876589			0.042386185		
145947	0.008975318					
145950	0.011967091					0.010981469
145953	0.020942408					
145956						
145962	0.116679132	0.164603059	0.069454288	0.2433281	0.208828523	0.078242965
145963	0.025430067					
145965	0.017950636					
145968						
145970	0.02842184		0.028348689			0.008236102
145971			0.01275691			
145972	0.005983545					
145973	0.332086761	0.39184268	0.198440822	0.406593407	0.641765705	0.371997255
145974	0.037397158		0.017009213			0.002745367
145975	1.495886313	0.425345958	0.66335932	1.241758242	1.076400679	1.065202471
145976						
145977	0.164547494	0.120903132	0.042523033	0.135007849	0.064516129	0.067261496
145980						
145981	0.121166791	0.017479971	0.069454288			0.020590254
145984	0.02842184	0.030589949	0.082211198			0.048043926
145986		0.008739985				
145987	0.095736724	0.122359796	0.01275691	0.117739403	0.091680815	0.052161977
145988						
145989	0.029917726			0.023547881		
145990	0.067314884	0.029133285	0.008504607	0.029827316	0.052631579	0.028826356
145991	19.95362752	0.20975965	2.287739192	7.799058085	3.18336163	2.085106383
145992	30.05235602	2.509832484	16.50318923	13.02197802	14.36502547	25.56897735
145993	0.216903515	0.805535324	0.588235294	0.982731554	1.684210526	1.002059025
145994	0.339566193	0.386016023	0.257973069	0.420722135	0.220713073	0.262182567
145995						
145996	0.260284218	0.237436271	0.194188519	0.381475667	0.361629881	0.168840082
145997	0.828721017		0.01275691	0.001569859		
145998	0.137621541	0.100509832	0.043940468	0.08477237	0.086587436	0.012354152
145999	0.010471204	0.005826657				
146000						
146001	0.149588631		0.017009213	0.252747253		0.021962938
146002	0.076290202	0.053896577	0.015591779	0.056514914	0.079796265	0.009608785
146003	0.101720269		0.005669738			0.006863418
146004	0.089753179			0.043956044		
146005	0.035901272					
146006	0.017950636					
146007	0.047868362					
146008	0.02842184					
146009						
146010	0.728496634	1.000728332	0.836286322	0.791208791	0.820033956	0.996568291
146011	0.05684368		0.008504607	0.081632653	0.045840407	0.008236102
146012	0.007479432					
146013	0.043380703	0.023306628	0.024096386	0.023547881		
146014	0.007479432		0.001417434			0.004118051
146015	0.04038893	0.004369993	0.06378455	0.004709576		0.100205903
146016	0.281226627		0.048192771	0.291993721	0.040747029	0.002745367
146017	0.011967091					
146018						
146019						
146020	0.016454749					
146021	4.777860883	4.761835397	3.876683203	6.665620094	8.932088285	9.096774194
146022						
146023	0.049364248				0.025466893	
146024						
146025	0.001495886					
146026	0.041884817				0.010186757	
146027	0.019446522	0.002913328		0.028257457		
146028	0.005983545					
146029	0.017950636	0.040786599	0.096385542			0.035689774
146030	0.462228871	0.518572469	0.238128987	0.521193093	0.73344652	0.295126973
146031						
146032	0.011967091					
146033	0.020942408					
146034						
146035						
146036	0.005983545					
146037						
146038	0.207928197	0.184996358	0.170092133	0.155416013	0.161290323	0.167467399
146039	0.128646223	0.036416606	0.017009213	0.180533752	0.083191851	0.031571723
146040	38.87210172	56.84923525	47.00070872	125.8178964	92.31409168	27.08442004
146041	0.046372476	0.005826657	0.004252303	0.095761381		0.001372684
146042	0.80329095	1.252731245	0.695960312	0.84144427	1.410865874	0.93891558
146043	0.098728497		0.004252303			
146044						
146045	0.020942408					
146046	0.035901272		0.031183558			
146047	0.032909499		0.008504607			
146048	0.002991773					
146049						
146050	0.100224383		0.028348689			0.009608785
146051	0.025430067		0.001417434			
146052	0.109199701	0.777858704	0.326009922	0.502354788	0.247877759	0.247083047
146053	0.011967091					
146054	0.372475692	0.406409323	0.161587527	0.540031397	0.726655348	0.274536719
146055	0.716529544	0.878368536	0.537207654	0.610675039	0.334465195	0.27865477
146056	0.062827225		0.008504607	0.028257457		
146057	0.035901272		0.035435861			0.038435141
146058	0.070306657	0.055353241	0.001417434	0.045525903	0.088285229	0.01921757
146059	0.016454749					
146060	0.183994016					
146061	0.046372476					
146062	0.05684368					
146063	0.031413613			0.001569859		
146064	0.3934181	0.458849235	0.157335223	0.712715856	0.855687606	0.356897735
146065	0.073298429					
146066	0.034405385	0.046613256				
146067						
146068	0.611817502	0.702112163	0.564138909	0.474097331	0.59762309	0.577899794
146069	0.086761406	0.064093227		0.059654631	0.084889643	0.013726836
146070	0.02842184			0.050235479		0.010981469
146071	0.104712042	0.067006555	0.109142452			0.08785175
146072	10.86761406	6.961398398	5.603118356	11.49136578	14.10526316	9.647220316
146073						
146074	0.02842184					
146075	0.065818998	0.094683176	0.034018427		0.086587436	0.071379547
146076	0.773373224	0.509832484	0.273564848	0.640502355	0.526315789	0.483184626
146077	0.053851907	0.013109978	0.024096386	0.014128728		
146078	0.041884817	0.013109978	0.009922041	0.006279435	0.028862479	0.024708305
146079	0.100224383			0.020408163	0.120543294	0.027453672
146080	0.032909499					
146081			0.004252303		0.033955857	
146082	0.080777861		0.022678951			0.012354152
146083						
146084						
146085	0.035901272					
146086						
146087	0.906507105	1.879096868	1.510985117	2.544740973	1.641765705	2.205902539
146088	0.167539267			0.185243328		0.03431709
