ID_REF	GSM3211361	GSM3211362	GSM3211363
hsa-miR-138-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-138-2-3p	-2.868	-3.2535	-3.4279
hsa-miR-138-5p	-2.868	-3.2535	-3.4279
hsa-miR-139-3p	-2.868	-3.2535	-3.4279
hsa-miR-139-5p	-2.868	-3.2535	-3.4279
hsa-miR-140-3p	-2.868	-3.2535	-3.4279
hsa-miR-140-5p	-2.868	-3.2535	-3.4279
hsa-miR-141-3p	6.0513	5.4542	6.0724
hsa-miR-141-5p	-2.868	-3.2535	-3.4279
hsa-miR-142-3p	-2.868	-3.2535	-3.4279
hsa-miR-142-5p	-2.868	-3.2535	-3.4279
hsa-miR-143-3p	-2.868	-3.2535	-3.4279
hsa-miR-143-5p	-2.868	-3.2535	-3.4279
hsa-miR-144-3p	-2.868	-3.2535	-3.4279
hsa-miR-144-5p	-2.868	-3.2535	-3.4279
hsa-miR-145-3p	-2.868	-3.2535	-3.4279
hsa-miR-145-5p	-2.868	-3.2535	-3.4279
hsa-miR-1468-3p	-2.868	-3.2535	-3.4279
hsa-miR-1468-5p	-2.868	-3.2535	-3.4279
hsa-miR-1469	-2.868	0.2118	-0.1059
hsa-miR-146a-3p	-2.868	-3.2535	-3.4279
hsa-miR-146a-5p	-2.868	-3.2535	-3.4279
hsa-miR-146b-3p	-2.868	-3.2535	-3.4279
hsa-miR-146b-5p	-2.868	-3.2535	-3.4279
hsa-miR-1470	-2.868	-3.2535	-3.4279
hsa-miR-1471	-2.868	2.9172	2.6066
hsa-miR-147a	-2.868	-3.2535	-3.4279
hsa-miR-147b	-2.868	-3.2535	-3.4279
hsa-miR-148a-3p	0.9338	0.0684	1.239
hsa-miR-148a-5p	-2.868	-3.2535	-3.4279
hsa-miR-148b-3p	-2.868	-3.2535	-0.1059
hsa-miR-148b-5p	-2.868	-3.2535	-3.4279
hsa-miR-149-3p	-2.868	0.0684	-3.4279
hsa-miR-149-5p	0.4539	1.0125	0.8485
hsa-miR-150-3p	3.3436	4.8274	6.5635
hsa-miR-150-5p	-2.868	-3.2535	-3.4279
hsa-miR-151a-3p	0.4539	-3.2535	0.2442
hsa-miR-151a-5p	2.2868	1.5824	1.819
hsa-miR-151b	0.7028	0.1117	0.7123
hsa-miR-152-3p	-2.868	-3.2535	-3.4279
hsa-miR-152-5p	-2.868	-3.2535	-3.4279
hsa-miR-153-3p	-2.868	-3.2535	-3.4279
hsa-miR-153-5p	-2.868	-3.2535	-3.4279
hsa-miR-1537-3p	-2.868	-3.2535	-3.4279
hsa-miR-1537-5p	-2.868	-3.2535	-3.4279
hsa-miR-1538	-2.868	-3.2535	-3.4279
hsa-miR-1539	-2.868	0.8723	-0.1059
hsa-miR-154-3p	-2.868	-3.2535	-3.4279
hsa-miR-154-5p	-2.868	-3.2535	-3.4279
hsa-miR-155-3p	-2.868	-3.2535	-3.4279
hsa-miR-155-5p	-2.868	-3.2535	-3.4279
hsa-miR-1587	0.9499	4.9671	3.6195
hsa-miR-15a-3p	-2.868	-3.2535	-3.4279
hsa-miR-15a-5p	3.6918	2.9913	3.3446
hsa-miR-15b-3p	-2.868	-3.2535	-3.4279
hsa-miR-15b-5p	5.8065	5.1498	5.6524
hsa-miR-16-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-16-2-3p	-2.868	-3.2535	-0.1059
hsa-miR-16-5p	6.3175	5.4032	6.0713
hsa-miR-17-3p	0.9608	0.2636	0.8267
hsa-miR-17-5p	5.9917	4.9788	5.7285
hsa-miR-181a-2-3p	-2.868	-3.2535	-3.4279
hsa-miR-181a-3p	-2.868	-3.2535	-3.4279
hsa-miR-181a-5p	4.0688	3.3821	3.7594
hsa-miR-181b-2-3p	-2.868	-3.2535	-3.4279
hsa-miR-181b-3p	-2.868	-3.2535	-3.4279
hsa-miR-181b-5p	2.6336	1.9098	2.4209
hsa-miR-181c-3p	-2.868	-3.2535	-3.4279
hsa-miR-181c-5p	-2.868	-3.2535	-3.4279
hsa-miR-181d-3p	-2.868	-3.2535	-3.4279
hsa-miR-181d-5p	-2.868	-3.2535	-3.4279
hsa-miR-182-3p	-2.868	-3.2535	-3.4279
hsa-miR-182-5p	-2.868	-3.2535	-3.4279
hsa-miR-1825	1.8977	1.5402	1.3215
hsa-miR-1827	-2.868	-3.2535	-3.4279
hsa-miR-183-3p	-2.868	-3.2535	-3.4279
hsa-miR-183-5p	0.7849	0.116	0.9051
hsa-miR-184	-2.868	-3.2535	-3.4279
hsa-miR-185-3p	-2.868	-3.2535	-3.4279
hsa-miR-185-5p	-2.868	-3.2535	-3.4279
hsa-miR-186-3p	-2.868	-3.2535	-3.4279
hsa-miR-186-5p	-2.868	-3.2535	-3.4279
hsa-miR-187-3p	-2.868	-3.2535	-3.4279
hsa-miR-187-5p	-2.868	-3.2535	-3.4279
hsa-miR-188-3p	-2.868	-3.2535	-3.4279
hsa-miR-188-5p	1.714	4.2712	4.9445
hsa-miR-18a-3p	-2.868	-3.2535	-3.4279
hsa-miR-18a-5p	2.86	2.1538	2.7812
hsa-miR-18b-3p	-2.868	-3.2535	-3.4279
hsa-miR-18b-5p	0.572	0.0684	0.6618
hsa-miR-1908-3p	1.6006	1.4853	2.823
hsa-miR-1908-5p	-2.868	-3.2535	-3.4279
hsa-miR-1909-3p	-2.868	-3.2535	-3.4279
hsa-miR-1909-5p	-2.868	-3.2535	-3.4279
hsa-miR-190a-3p	-2.868	-3.2535	-3.4279
hsa-miR-190a-5p	-2.868	-3.2535	-3.4279
hsa-miR-190b	-2.868	-3.2535	-3.4279
hsa-miR-191-3p	0.9785	1.0887	0.7747
hsa-miR-191-5p	-2.868	-3.2535	-3.4279
hsa-miR-1910-3p	-2.868	-3.2535	-3.4279
hsa-miR-1910-5p	-2.868	-3.2535	-3.4279
hsa-miR-1911-3p	-2.868	-3.2535	-3.4279
hsa-miR-1911-5p	-2.868	-3.2535	-3.4279
hsa-miR-1912	-2.868	-3.2535	-3.4279
hsa-miR-1913	-2.868	-3.2535	-3.4279
hsa-miR-1914-3p	-2.868	-3.2535	1.5837
hsa-miR-1914-5p	-2.868	-3.2535	-3.4279
hsa-miR-1915-3p	2.3519	5.7924	5.4999
hsa-miR-1915-5p	-2.868	-3.2535	-3.4279
hsa-miR-192-3p	-2.868	-3.2535	-3.4279
hsa-miR-192-5p	-2.868	-3.2535	-3.4279
hsa-miR-193a-3p	-2.868	-3.2535	-3.4279
hsa-miR-193a-5p	0.6221	-3.2535	-0.1059
hsa-miR-193b-3p	0.8781	0.3153	0.6916
hsa-miR-193b-5p	-2.868	1.8668	1.4991
hsa-miR-194-3p	-2.868	-3.2535	-3.4279
hsa-miR-194-5p	-2.868	-3.2535	-3.4279
hsa-miR-195-3p	-2.868	-3.2535	-3.4279
hsa-miR-195-5p	-2.868	-3.2535	-3.4279
hsa-miR-196a-3p	-2.868	-3.2535	-3.4279
hsa-miR-196a-5p	-2.868	-3.2535	-3.4279
hsa-miR-196b-3p	-2.868	-3.2535	-3.4279
hsa-miR-196b-5p	1.7846	0.3907	1.3649
hsa-miR-197-3p	2.0938	1.1583	1.5515
hsa-miR-197-5p	3.1322	4.2221	5.1713
hsa-miR-1972	-2.868	-3.2535	-3.4279
hsa-miR-1973	-2.868	-3.2535	-3.4279
hsa-miR-1976	-2.868	-3.2535	-3.4279
hsa-miR-198	-2.868	0.0684	-3.4279
hsa-miR-199a-3p	-2.868	-3.2535	-3.4279
hsa-miR-199a-5p	-2.868	-3.2535	-3.4279
hsa-miR-199b-5p	-2.868	-3.2535	-3.4279
hsa-miR-19a-3p	4.0569	3.4741	4.2128
hsa-miR-19a-5p	-2.868	-3.2535	-3.4279
hsa-miR-19b-1-5p	-2.868	-3.2535	-3.4279
hsa-miR-19b-2-5p	-2.868	-3.2535	-3.4279
hsa-miR-19b-3p	5.8158	5.1411	5.8256
hsa-miR-200a-3p	4.6645	3.7245	4.3977
hsa-miR-200a-5p	-2.868	-3.2535	-3.4279
hsa-miR-200b-3p	5.9574	5.0582	5.5298
hsa-miR-200b-5p	-2.868	-3.2535	-3.4279
hsa-miR-200c-3p	5.7655	4.9117	5.2012
hsa-miR-200c-5p	-2.868	-3.2535	-3.4279
hsa-miR-202-3p	-2.868	-3.2535	0.757
hsa-miR-202-5p	-2.868	-3.2535	-3.4279
hsa-miR-203a-3p	-2.868	-3.2535	-3.4279
hsa-miR-203a-5p	-2.868	-3.2535	-3.4279
hsa-miR-203b-3p	-2.868	-3.2535	-3.4279
hsa-miR-203b-5p	-2.868	-3.2535	-3.4279
hsa-miR-204-3p	-2.868	-3.2535	-3.4279
hsa-miR-204-5p	-2.868	-3.2535	-3.4279
hsa-miR-205-3p	-2.868	-3.2535	-3.4279
hsa-miR-205-5p	1.6277	0.369	1.4746
hsa-miR-2052	-2.868	-3.2535	-3.4279
hsa-miR-2053	-2.868	-3.2535	-3.4279
hsa-miR-206	-2.868	-3.2535	-3.4279
hsa-miR-208a-3p	-2.868	-3.2535	-3.4279
hsa-miR-208a-5p	-2.868	-3.2535	0.9336
hsa-miR-208b-3p	-2.868	-3.2535	-3.4279
