ID_REF	GSM3683663	GSM3683664	GSM3683665
hsa-miR-1226-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1226-5p	2.094417708	2.139537699	1.197834757
hsa-miR-1227-3p	0.025395136	0.241191221	0.019560038
hsa-miR-1227-5p	11.06390064	7.966884723	9.122287884
hsa-miR-1228-3p	3.469195877	3.914343869	2.501805963
hsa-miR-1228-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1229-3p	0.253951324	0.024119124	0.280420631
hsa-miR-1229-5p	50.6046376	168.9018125	55.39028283
hsa-miR-1231	0.025395136	0.024119124	0.019560038
hsa-miR-1233-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1233-5p	0.881266965	0.268120215	0.518436716
hsa-miR-1234-3p	1.835125756	2.015104561	1.410434823
hsa-miR-1236-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1236-5p	0.253951324	0.846648758	0.983724817
hsa-miR-1237-3p	0.83542369	0.925086633	0.662130503
hsa-miR-1237-5p	0.371855857	0.268424135	0.288620004
hsa-miR-1238-3p	1.328691064	1.413493913	0.949576979
hsa-miR-1238-5p	0.025395136	0.024119124	0.019560038
hsa-miR-124-3p	0.025395136	0.024119124	0.019560038
hsa-miR-124-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1243	0.025395136	0.024119124	0.019560038
hsa-miR-1244	0.025395136	0.024119124	0.019560038
hsa-miR-1245a	0.025395136	0.024119124	0.019560038
hsa-miR-1245b-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1245b-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1246	0.025395136	0.024119124	0.019560038
hsa-miR-1247-3p	0.025395136	0.395657333	0.019560038
hsa-miR-1247-5p	0.025395136	0.024119124	0.249537129
hsa-miR-1248	0.025395136	0.024119124	0.019560038
hsa-miR-1249-3p	6.655962476	8.065026088	5.025616553
hsa-miR-1249-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1250-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1250-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1251-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1251-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1252-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1252-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1253	0.025395136	0.024119124	0.019560038
hsa-miR-1254	0.025395136	0.024119124	0.552999239
hsa-miR-1255a	0.025395136	0.024119124	0.019560038
hsa-miR-1255b-2-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1255b-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1256	0.025395136	0.024119124	0.019560038
hsa-miR-1257	0.025395136	0.024119124	0.019560038
hsa-miR-1258	0.025395136	0.024119124	0.019560038
hsa-miR-125a-3p	1.112116218	0.755580985	1.018414586
hsa-miR-125a-5p	0.025395136	0.024119124	0.019560038
hsa-miR-125b-1-3p	0.025395136	0.024119124	0.019560038
hsa-miR-125b-2-3p	0.025395136	0.024119124	0.019560038
hsa-miR-125b-5p	0.025395136	0.024119124	0.019560038
hsa-miR-126-3p	0.025395136	0.024119124	0.019560038
hsa-miR-126-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1260a	3.652912762	10.14719098	5.293035757
hsa-miR-1260b	1.06140994	2.675449689	3.386099108
hsa-miR-1261	0.025395136	0.024119124	0.019560038
hsa-miR-1262	0.025395136	0.024119124	0.019560038
hsa-miR-1263	0.025395136	0.024119124	0.019560038
hsa-miR-1264	0.025395136	0.024119124	0.019560038
hsa-miR-1265	0.025395136	0.024119124	0.019560038
hsa-miR-1266-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1266-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1267	0.025395136	0.024119124	0.019560038
hsa-miR-1268a	25.7749728	31.00464574	17.88452628
hsa-miR-1268b	48.10615206	33.73228164	42.95755568
hsa-miR-1269a	0.025395136	0.024119124	0.019560038
hsa-miR-1269b	0.025395136	0.024119124	0.019560038
hsa-miR-127-3p	0.025395136	0.024119124	0.019560038
hsa-miR-127-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1270	0.025395136	0.024119124	0.019560038
hsa-miR-1271-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1271-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1272	0.025395136	0.024119124	0.019560038
hsa-miR-1273a	0.025395136	0.024119124	0.019560038
hsa-miR-1273c	0.025395136	0.024119124	0.019560038
hsa-miR-1273d	0.025395136	0.024119124	0.019560038
hsa-miR-1273e	0.551968293	0.439776006	0.312436281
hsa-miR-1273f	12.11335001	11.64377289	4.687964679
hsa-miR-1273g-3p	41.0134727	43.74667006	18.72603429
hsa-miR-1273g-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1273h-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1273h-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1275	3.096575882	3.607340733	4.443803735
hsa-miR-1276	0.025395136	0.024119124	0.019560038
hsa-miR-1277-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1278	0.025395136	0.024119124	0.019560038
hsa-miR-1279	0.025395136	0.024119124	0.019560038
hsa-miR-128-1-5p	0.025395136	0.024119124	0.019560038
hsa-miR-128-2-5p	0.025395136	0.024119124	0.019560038
hsa-miR-128-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1281	0.937613671	0.997706688	0.841988842
hsa-miR-1282	0.025395136	0.024119124	0.019560038
hsa-miR-1283	0.025395136	0.024119124	0.019560038
hsa-miR-1284	0.025395136	0.024119124	0.019560038
