"ID_REF"	"GSM3683663"	"GSM3683664"	"GSM3683665"	"GSM3683666"	"GSM3683667"	"GSM3683668"	"GSM3683669"
"hsa-miR-499a-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-499b-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-499b-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5000-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5000-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5001-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5001-5p"	7.756058581	5.850085054	5.768257223	5.987346648	4.356267963	7.680345436	6.07262676
"hsa-miR-5002-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5002-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5003-3p"	0.894782255	1.201151502	0.546706809	0.358830518	0.390056657	0.917923918	0.033294865
"hsa-miR-5003-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5004-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5004-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5006-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5006-5p"	1.252764781	1.12143789	2.617787335	1.042322309	1.186470286	0.933533387	1.332357241
"hsa-miR-5007-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5007-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5008-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.342384169	0.033294865
"hsa-miR-5008-5p"	0.652550776	0.448376882	0.367176976	0.565666798	0.484277238	0.836752	0.332948651
"hsa-miR-5009-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5009-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-500a-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-500a-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-500b-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-500b-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-501-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-501-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5010-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.332948651
"hsa-miR-5010-5p"	0.025395136	0.024119124	0.37281616	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5011-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5011-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-502-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-502-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-503-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-503-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-504-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-504-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
