ID_REF	GSM4025391	GSM4025392	GSM4025393	GSM4025394	GSM4025395
10544	6.9595547	6.676807	6.73161	6.6745462	6.4861026
10546	6.880045	7.0394583	7.18767	6.850465	6.944817
10551	7.0397687	6.958004	6.9323535	6.990514	6.994732
10553	6.9285192	6.8775616	6.927059	6.8468037	6.8183327
10561	6.8017726	6.730518	6.694552	6.691518	6.613661
10563	9.101394	8.690326	8.678917	9.158624	9.213873
10575	9.0212965	9.249338	8.942867	9.181883	9.119149
10576	6.9752994	6.911654	6.879169	7.0508037	6.9249096
10592	9.261743	9.35123	8.975929	9.137417	9.109559
10593	11.774659	11.548063	11.21344	11.8288145	11.579781
10594	6.4205008	6.5316906	6.3848925	6.5192204	6.448126
10600	6.6208467	6.5800943	6.558892	6.510125	6.5837574
10601	10.319831	9.768053	9.520111	10.271476	10.285559
10603	6.6274624	6.578166	6.5588613	6.437164	6.7106285
10605	7.076642	6.9727025	7.0886836	6.8254285	6.9397764
10608	6.713532	6.6575947	6.8595204	6.6313915	6.632969
10609	11.263376	11.065083	11.32672	11.2342005	11.155079
10630	6.3689485	6.533181	6.4810295	6.4592767	6.4356837
10632	6.6084566	6.665707	6.6584764	6.55081	6.4232383
10634	6.5691752	6.455665	6.558102	6.5705705	6.7172227
10639	7.4048166	7.351446	7.1414194	7.213278	7.26972
10646	6.5376563	6.541639	6.533668	6.400625	6.493
10653	9.665312	10.270151	10.366853	9.910698	9.758202
10669	6.8335114	6.7222424	6.7290144	6.5975347	6.812186
10670	6.8066425	6.8205347	6.6650887	6.7720385	6.6722374
10671	6.913031	6.900195	6.998012	6.964135	6.8327956
10672	12.598284	12.905869	12.919519	12.128443	12.208557
10673	7.2540092	7.278253	7.2927003	7.1283493	7.135363
10674	6.949985	6.890888	6.9614663	6.810158	6.5153484
10678	6.999819	6.996171	7.059698	7.1062403	7.130704
10681	7.1966186	7.107268	7.0267396	7.009257	7.0206594
10682	8.915309	8.844547	8.577569	8.997345	9.04081
10685	6.5413103	6.557205	6.5415635	6.4828844	6.4387574
